"BehaviorSpace results (NetLogo 6.4.0)","Spreadsheet version 2.0"
"V.3.16_FINALE_(25.09)_all_scenarios base copy 2.nlogo"
"Scenario con matrice3"
"10/30/2024 10:42:44:623 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","2","2","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","9","9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10"
"n-companies","5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,,"5",,,,,,,,,,
"n-users","50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,,"50",,,,,,,,,,
"file-name-m1","Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,,"Reprocessing_matrix_food3.csv",,,,,,,,,,
"file-name-m2","Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,,"Input_data_products_food.csv",,,,,,,,,,
"trigger-max","2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,,"2",,,,,,,,,,
"limit-cons-per-user","0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,,"0.5",,,,,,,,,,
"food-industry","true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,
"fashion-industry","false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,,"false",,,,,,,,,,
"reprocessing","true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,,"true",,,,,,,,,,
